announcement_year,announcement_phase,complex_name,district,housing_type,supply_target,supply_type,cutline_rank,cutline_score,tie_breaker,tie_breaker_value,review_stage
2021.0,1차,신길역 봉주르오피스텔,영등포구,14,청년계층,일반,1.0,,추첨,,서류
2021.0,1차,블리스다임빌,중랑구,23,대학생계층,우선,2.0,,추첨,,서류
2021.0,1차,블리스다임빌,중랑구,27,청년계층,우선,1.0,6.0,추첨,,서류
2021.0,1차,솔리스타,양천구,29,청년계층,우선,1.0,6.0,추첨,,서류
2021.0,1차,솔리스타,양천구,29,청년계층,일반,1.0,,추첨,,서류
2021.0,1차,써밋카운티,동대문구,28,청년계층,우선,1.0,6.0,추첨,,서류
2021.0,1차,써밋카운티,동대문구,34,청년계층,우선,1.0,6.0,추첨,,서류
2021.0,1차,아현시티,마포구,25,청년계층,우선,1.0,6.0,추첨,,서류
2021.0,1차,아현시티,마포구,29,청년계층,우선,1.0,6.0,추첨,,서류
2021.0,1차,엘리시아 1차,광진구,12,대학생계층,우선,1.0,3.0,추첨,,서류
2021.0,1차,엘리시아 1차,광진구,12,대학생계층,일반,1.0,,추첨,,서류
2021.0,1차,위너스힐,광진구,23,대학생,우선,1.0,3.0,추첨,,서류
2021.0,1차,위너스힐,광진구,23,대학생,일반,1.0,,추첨,,서류
2021.0,1차,위너스힐,광진구,25,청년,우선,1.0,6.0,추첨,,서류
2021.0,1차,위너스힐,광진구,27,청년,우선,1.0,6.0,추첨,,서류
2021.0,1차,e편한세상 서울대입구,관악구,50,신혼부부,우선,1.0,6.0,전입일자,1999.12.27,서류
2021.0,1차,e편한세상 서울대입구,관악구,59,신혼부부,우선,1.0,6.0,전입일자,1990.05.07,서류
2021.0,1차,강동 리엔파크 11단지,강동구,17,대학생,우선,,,전원합격,,서류
2021.0,1차,강동 리엔파크 11단지,강동구,17,대학생,일반,,,전원합격,,서류
2021.0,1차,강동 리엔파크 11단지,강동구,17,청년,우선,2.0,4.0,추첨,,서류
2021.0,1차,강동 리엔파크 11단지,강동구,17,청년,일반,1.0,,추첨,,서류
2021.0,1차,강동 리엔파크 11단지,강동구,29S,고령자,우선,2.0,2.0,전입일자,2013.10.17,서류
2021.0,1차,강동 리엔파크 11단지,강동구,29S,고령자,일반,,,전원합격,,서류
2021.0,1차,강동 리엔파크 11단지,강동구,29S,청년,우선,1.0,6.0,추첨,,서류
2021.0,1차,강동 리엔파크 11단지,강동구,29S,청년,일반,1.0,,추첨,,서류
2021.0,1차,강동 리엔파크 14단지,강동구,17,대학생,우선,,,전원합격,,서류
2021.0,1차,강동 리엔파크 14단지,강동구,29S,고령자,우선,,,전원합격,,서류
2021.0,1차,강동 리엔파크 14단지,강동구,29S,고령자,일반,,,전원합격,,서류
2021.0,1차,강동 리엔파크 14단지,강동구,29S,청년,우선,1.0,6.0,추첨,,서류
2021.0,1차,강동 리엔파크 14단지,강동구,29S,청년,일반,1.0,,추첨,,서류
2021.0,1차,강일 리버파크 11,강동구,29,고령자,우선,,,전원합격,,서류
2021.0,1차,강일 리버파크 11,강동구,29,고령자,일반,,,전원합격,,서류
2021.0,1차,강일 리버파크 11,강동구,29,청년,우선,1.0,6.0,추첨,,서류
2021.0,1차,강일 리버파크 11,강동구,29,청년,일반,1.0,,추첨,,서류
2021.0,1차,강일 리버파크 11,강동구,29S,고령자,우선,,,전원합격,,서류
2021.0,1차,강일 리버파크 11,강동구,29S,고령자,일반,,,,,서류
2021.0,1차,개포 래미안포레스트,강남구,49,신혼부부,우선,1.0,4.0,전입일자,1992.04.17,서류
2021.0,1차,개포 래미안포레스트,강남구,49,신혼부부,일반,1.0,,추첨,,서류
2021.0,1차,거여 리본타운,송파구,29,주거급여수급자,우선,1.0,3.0,전입일자,2014.08.12,서류
2021.0,1차,거여 리본타운,송파구,29,청년,우선,1.0,6.0,추첨,,서류
2021.0,1차,거여 리본타운,송파구,29,청년,일반,1.0,,추첨,,서류
2021.0,1차,거여 리본타운,송파구,29S,고령자,우선,1.0,4.0,전입일자,1988.01.01,서류
2021.0,1차,고덕 그라시움,강동구,59,신혼부부,우선,1.0,6.0,전입일자,1989.05.04,서류
2021.0,1차,고덕 센트럴푸르지오 (서울승합차고지),강동구,40,고령자,우선,1.0,6.0,전입일자,1972.04.01,서류
2021.0,1차,고덕 센트럴푸르지오 (서울승합차고지),강동구,40,고령자,일반,,,추첨,,서류
2021.0,1차,고덕 센트럴푸르지오 (서울승합차고지),강동구,40,신혼부부,우선,1.0,6.0,전입일자,2009.07.30,서류
2021.0,1차,고덕 센트럴푸르지오 (서울승합차고지),강동구,40,신혼부부,일반,1.0,,추첨,,서류
2021.0,1차,디에이치 아너힐즈 (개포주공 3),강남구,49,신혼부부,우선,,,전원합격,,서류
2021.0,1차,디에이치자이 개포,강남구,44,고령자,우선,1.0,4.0,전입일자,2009.06.01,서류
2021.0,1차,디에이치자이 개포,강남구,44,신혼부부,우선,1.0,4.0,전입일자,2021.01.28,서류
2021.0,1차,디에이치자이 개포,강남구,44,신혼부부,일반,1.0,,추첨,,서류
2021.0,1차,래미안 로이파크 (사당 1 구역),동작구,59,신혼부부,우선,1.0,6.0,전입일자,2017.09.14,서류
2021.0,1차,래미안 명일역솔베뉴 (삼익그린),강동구,49,신혼부부,우선,1.0,6.0,전입일자,1989.07.05,서류
2021.0,1차,래미안 명일역솔베뉴 (삼익그린),강동구,59,신혼부부,우선,1.0,6.0,전입일자,1987.10.27,서류
2021.0,1차,"래미안 신반포 리오센트 (신반포 18,24차)",서초구,59,신혼부부,우선,1.0,6.0,전입일자,1996.05.27,서류
2021.0,1차,래미안 개포루체하임 (일원현대),강남구,49,신혼부부,우선,,,전원합격,,서류
2021.0,1차,래미안 개포루체하임 (일원현대),강남구,59,신혼부부,우선,,,전원합격,,서류
2021.0,1차,래미안블레스티지 (개포주공 2 단지),강남구,49,고령자,우선,1.0,4.0,,,서류
2021.0,1차,래미안블레스티지 (개포주공 2 단지),강남구,49,신혼부부,우선,2.0,6.0,전입일자,2007.01.05,서류
2021.0,1차,래미안블레스티지 (개포주공 2 단지),강남구,49,신혼부부,일반,,,전원합격,,서류
2021.0,1차,래미안블레스티지 (개포주공 2 단지),강남구,59,신혼부부,우선,1.0,6.0,전입일자,2017.11.03,서류
2021.0,1차,마포 웨스트리버 태영데시앙 (마포창전 1),마포구,59,신혼부부,우선,1.0,6.0,전입일자,2018.03.26,서류
2021.0,1차,방배아트자이 (방배 3),서초구,59,신혼부부,우선,1.0,6.0,전입일자,2008.12.08,서류
2021.0,1차,서초선포레,서초구,21,청년,우선,1.0,,추첨,,서류
2021.0,1차,서초선포레,서초구,29,고령자,우선,1.0,4.0,전입일자,2014.05.07,서류
2021.0,1차,서초선포레,서초구,29,청년,우선,1.0,,추첨,,서류
2021.0,1차,송파파크데일 3,송파구,21,주거급여수급자,우선,1.0,2.0,전입일자,2021.06.01,서류
2021.0,1차,송파파크데일 3,송파구,21,청년,우선,1.0,,추첨,,서류
2021.0,1차,송파파크데일 3,송파구,21,청년,일반,1.0,,추첨,,서류
2021.0,1차,송파헬리오시티(가락시영),송파구,39,행복주택(고령자),우선,1.0,5.0,전입일자,2013.10.23,서류
2021.0,1차,송파헬리오시티(가락시영),송파구,39,행복주택(고령자),일반,,,추첨,,서류
2021.0,1차,송파헬리오시티(가락시영),송파구,39,행복주택(신혼부부계층),우선,1.0,6.0,전입일자,2019.03.29,서류
2021.0,1차,송파헬리오시티(가락시영),송파구,39,행복주택(신혼부부계층),일반,1.0,,추첨,,서류
2021.0,1차,송파헬리오시티(가락시영),송파구,49,행복주택(신혼부부계층),우선,1.0,6.0,전입일자,1999.12.08,서류
2021.0,1차,송파헬리오시티(가락시영),송파구,49,행복주택(신혼부부계층),일반,1.0,,추첨,,서류
2021.0,1차,수락리버타운,노원구,21,행복주택(대학생계층),우선,1.0,3.0,추첨,,서류
2021.0,1차,수락리버타운,노원구,21,행복주택(대학생계층),일반,1.0,,추첨,,서류
2021.0,1차,수락리버타운,노원구,21,행복주택(청년계층),우선,1.0,6.0,추첨,,서류
2021.0,1차,수락리버타운,노원구,21,행복주택(청년계층),일반,1.0,,추첨,,서류
2021.0,1차,수락리버타운,노원구,21S,행복주택(고령자),우선,1.0,,,,서류
2021.0,1차,수락리버타운,노원구,21S,행복주택(고령자),일반,,,전원합격,,서류
2021.0,1차,숲에리움(오류 1동 정신호),구로구,16,행복주택(대학생계층),우선,,,전원합격,,서류
2021.0,1차,숲에리움(오류 1동 정신호),구로구,16,행복주택(대학생계층),일반,,,전원합격,,서류
2021.0,1차,숲에리움(오류 1동 정신호),구로구,16,행복주택(주거급여수급자),우선,,,전원합격,,서류
2021.0,1차,숲에리움(오류 1동 정신호),구로구,16,행복주택(주거급여수급자),일반,,,전원합격,,서류
2021.0,1차,숲에리움(오류 1동 정신호),구로구,17,행복주택(고령자),우선,,,전원합격,,서류
2021.0,1차,숲에리움(오류 1동 정신호),구로구,17,행복주택(고령자),일반,,,전원합격,,서류
2021.0,1차,숲에리움(오류 1동 정신호),구로구,22,행복주택(청년계층),우선,1.0,3.0,,,서류
2021.0,1차,숲에리움(오류 1동 정신호),구로구,22,행복주택(청년계층),일반,1.0,4.0,추첨,,서류
2021.0,1차,신내 3-3 도시형생활주택,중랑구,29,행복주택(청년계층),우선,1.0,4.0,추첨,,서류
2021.0,1차,신내 3-3 도시형생활주택,중랑구,29,행복주택(청년계층),일반,1.0,,추첨,,서류
2021.0,1차,신내 3-3 도시형생활주택,중랑구,29S,행복주택(고령자),우선,,,전원합격,,서류
2021.0,1차,신내 3-3 도시형생활주택,중랑구,29S,행복주택(고령자),일반,,,전원합격,,서류
2021.0,1차,신내 3-4 도시형생활주택,중랑구,21,행복주택(청년계층),우선,1.0,,,,서류
2021.0,1차,신내 3-4 도시형생활주택,중랑구,21,행복주택(청년계층),일반,1.0,,추첨,,서류
2021.0,1차,신내 3-4 도시형생활주택,중랑구,21S,행복주택(고령자),우선,,,전원합격,,서류
2021.0,1차,신내 3-4 도시형생활주택,중랑구,21S,행복주택(고령자),일반,,,전원합격,,서류
2021.0,1차,신내 3-4 도시형생활주택,중랑구,31,행복주택(청년계층),우선,1.0,6.0,추첨,,서류
2021.0,1차,신내 3-4 도시형생활주택,중랑구,31,행복주택(청년계층),일반,1.0,,추첨,,서류
2021.0,1차,신마곡 벽산블루밍(개화산역세권),강서구,31S,행복주택(고령자),우선,1.0,6.0,전입일자,2003.08.28,서류
2021.0,1차,신마곡 벽산블루밍(개화산역세권),강서구,31S,행복주택(고령자),일반,1.0,,추첨,,서류
2021.0,1차,신마곡 벽산블루밍(개화산역세권),강서구,49,행복주택(신혼부부계층),우선,1.0,6.0,전입일자,1993.08.10,서류
2021.0,1차,신마곡 벽산블루밍(개화산역세권),강서구,49,행복주택(신혼부부계층),일반,1.0,,추첨,,서류
2021.0,1차,신정 파크샤인,양천구,26,행복주택(청년계층),우선,1.0,6.0,추첨,,서류
2021.0,1차,신정 파크샤인,양천구,26,행복주택(청년계층),일반,1.0,,추첨,,서류
2021.0,1차,신정 파크샤인,양천구,26S,행복주택(고령자),우선,2.0,2.0,전입일자,1973.03.01,서류
2021.0,1차,신정 파크샤인,양천구,26S,행복주택(고령자),일반,,,전원합격,,서류
2021.0,1차,신촌숲 아이파크 (신수 1),마포구,59,신혼부부,우선,1.0,6.0,전입일자,1993.06.08,서류
2021.0,1차,잠실올림픽공원 아이파크 (풍납우성),송파구,59,신혼부부,우선,1.0,6.0,전입일자,1991.11.11,서류
2021.0,1차,정릉 하늘마루,성북구,19,대학생,우선,1.0,3.0,추첨,,서류
2021.0,1차,정릉 하늘마루,성북구,19,대학생,일반,1.0,,추첨,,서류
2021.0,1차,정릉 하늘마루,성북구,19,주거급여수급자,우선,2.0,1.0,전입일자,2013.06.01,서류
2021.0,1차,정릉 하늘마루,성북구,19,주거급여수급자,일반,,,전원합격,,서류
2021.0,1차,정릉 하늘마루,성북구,22,청년,우선,1.0,4.0,추첨,,서류
2021.0,1차,정릉 하늘마루,성북구,26,청년,우선,1.0,4.0,추첨,,서류
2021.0,1차,정릉 하늘마루,성북구,26S,고령자,우선,,,전원합격,,서류
2021.0,1차,정릉 하늘마루,성북구,26S,고령자,일반,,,전원합격,,서류
2021.0,1차,정릉 하늘마루,성북구,36,청년,우선,1.0,6.0,추첨,,서류
2021.0,1차,정릉 하늘마루,성북구,36,청년,일반,1.0,,추첨,,서류
2021.0,1차,천왕연지마을 1,구로구,20,대학생,우선,,,전원합격,,서류
2021.0,1차,천왕연지마을 1,구로구,20,대학생,일반,,,전원합격,,서류
2021.0,1차,천왕연지마을 1,구로구,20,주거급여수급자,우선,,,전원합격,,서류
2021.0,1차,천왕연지마을 1,구로구,20,주거급여수급자,일반,,,전원합격,,서류
2021.0,1차,천왕연지마을 1,구로구,32,주거급여수급자,우선,1.0,3.0,전입일자,2016.03.07,서류
2021.0,1차,천왕연지마을 1,구로구,32,주거급여수급자,일반,,,추첨,,서류
2021.0,1차,천왕연지마을 1,구로구,32,청년,우선,1.0,6.0,추첨,,서류
2021.0,1차,천왕연지마을 1,구로구,32,청년,일반,1.0,,추첨,,서류
2021.0,1차,천왕연지마을 1,구로구,32S,고령자,우선,1.0,6.0,,,서류
2021.0,1차,천왕연지마을 1,구로구,32S,고령자,일반,,,전원합격,,서류
2021.0,1차,천왕연지마을 2,구로구,19,대학생,우선,,,전원합격,,서류
2021.0,1차,천왕연지마을 2,구로구,19,대학생,일반,,,전원합격,,서류
2021.0,1차,천왕연지마을 2,구로구,22,청년,우선,,,전원합격,,서류
2021.0,1차,천왕연지마을 2,구로구,22S,고령자,우선,,,전원합격,,서류
2021.0,1차,천왕연지마을 2,구로구,31,청년,우선,1.0,4.0,추첨,,서류
2021.0,1차,천왕연지마을 2,구로구,31,청년,일반,1.0,,추첨,,서류
2021.0,1차,천왕연지마을 2,구로구,31S,고령자,우선,2.0,3.0,전입일자,2014.12.03,서류
2021.0,1차,천왕연지마을 2,구로구,40,신혼부부,우선,2.0,6.0,전입일자,1993.01.04,서류
2021.0,1차,천왕연지마을 2,구로구,40,신혼부부,일반,1.0,,추첨,,서류
2021.0,1차,천왕지구 8단지,구로구,29,행복주택(대학생계층),우선,,,전원합격,,서류
2021.0,1차,천왕지구 8단지,구로구,29,행복주택(대학생계층),일반,,,전원합격,,서류
2021.0,1차,천왕지구 8단지,구로구,29,행복주택(주거급여수급자),우선,,,전원합격,,서류
2021.0,1차,천왕지구 8단지,구로구,29,행복주택(청년계층),우선,2.0,6.0,,,서류
2021.0,1차,천왕지구 8단지,구로구,29,행복주택(청년계층),일반,1.0,,추첨,,서류
2021.0,1차,천왕지구 8단지,구로구,29S,행복주택(고령자),우선,,,전원합격,,서류
2021.0,1차,천왕지구 8단지,구로구,29S,행복주택(고령자),일반,,,,,서류
2021.0,1차,천왕지구 8단지,구로구,36,행복주택(신혼부부계층),우선,,,전원합격,,서류
2021.0,1차,천왕지구 8단지,구로구,36,행복주택(신혼부부계층),일반,,,전원합격,,서류
2021.0,1차,천왕지구 8단지,구로구,36,행복주택(청년계층),우선,1.0,6.0,추첨,,서류
2021.0,1차,천왕지구 8단지,구로구,36,행복주택(청년계층),일반,1.0,,추첨,,서류
2021.0,1차,천왕지구 8단지,구로구,45,행복주택(신혼부부계층),우선,1.0,4.0,전입일자,2017.09.21,서류
2021.0,1차,천왕지구 8단지,구로구,45,행복주택(신혼부부계층),일반,1.0,,추첨,,서류
2021.0,1차,초행지봉-미아-3,강북구,47,행복주택(신혼부부계층),우선,,,전원합격,,서류
2021.0,1차,초행지봉-미아-3,강북구,52,행복주택(신혼부부계층),우선,,,전원합격,,서류
2021.0,1차,항동 하버라인 9•10•11 단지,구로구,29,행복주택(고령자),우선,,,전원합격,,서류
2021.0,1차,항동 하버라인 9•10•11 단지,구로구,29,행복주택(고령자),일반,,,전원합격,,서류
2021.0,1차,항동 하버라인 9•10•11 단지,구로구,29,행복주택(주거급여수급자),우선,2.0,1.0,전입일자,1996.08.22,서류
2021.0,1차,항동 하버라인 9•10•11 단지,구로구,29,행복주택(주거급여수급자),일반,,,추첨,,서류
2021.0,1차,항동 하버라인 9•10•11 단지,구로구,29,행복주택(청년계층),우선,2.0,6.0,추첨,,서류
2021.0,1차,항동 하버라인 9•10•11 단지,구로구,29,행복주택(청년계층),일반,1.0,,추첨,,서류
2021.0,1차,항동 하버라인 9•10•11 단지,구로구,39,행복주택(신혼부부계층),우선,,,전원합격,,서류
2021.0,1차,항동 하버라인 9•10•11 단지,구로구,39,행복주택(신혼부부계층),일반,,,전원합격,,서류
2021.0,1차,항동 하버라인 9•10•11 단지,구로구,39,행복주택(청년계층),우선,1.0,6.0,추첨,,서류
2021.0,1차,항동 하버라인 9•10•11 단지,구로구,39,행복주택(청년계층),일반,1.0,,추첨,,서류
2021.0,1차,힐스테이트 청계 (대농신안),동대문구,40,행복주택(고령자),우선,1.0,4.0,전입일자,1994.08.11,서류
2021.0,1차,힐스테이트 청계 (대농신안),동대문구,40,행복주택(고령자),일반,,,추첨,,서류
2021.0,1차,힐스테이트 청계 (대농신안),동대문구,40,행복주택(신혼부부계층),우선,1.0,3.0,,,서류
2021.0,1차,힐스테이트 청계 (대농신안),동대문구,40,행복주택(신혼부부계층),일반,1.0,,추첨,,서류
2021.0,2차,구의자이르네(구의시장정비사업),광진구,20,대학생,우선,1.0,3.0,추첨,,서류
2021.0,2차,구의자이르네(구의시장정비사업),광진구,20,대학생,일반,1.0,,추첨,,서류
2021.0,2차,마곡그랑시엘(방화동613-2),강서구,29,청년,우선,1.0,6.0,추첨,,서류
2021.0,2차,마곡그랑시엘(방화동613-2),강서구,29,청년,일반,1.0,,추첨,,서류
2021.0,2차,반포센트레아스테리움(반포현대),서초구,59,신혼부부,우선,1.0,6.0,전입일자,2018.04.02,서류
2021.0,2차,반포센트레아스테리움(반포현대),서초구,59,신혼부부,일반,1.0,,추첨,,서류
2021.0,2차,반포센트레아스테리움(반포현대),서초구,59,고령자,우선,1.0,6.0,전입일자,2019.09.02,서류
2021.0,2차,반포센트레아스테리움(반포현대),서초구,59,고령자,일반,,,추첨,,서류
2021.0,2차,아뜰리에모켄(창천동112-23),서대문구,24,대학생,우선,1.0,5.0,전입일자,2013.10.01,서류
2021.0,2차,아뜰리에모켄(창천동112-23),서대문구,24,대학생,일반,,,추첨,,서류
2021.0,2차,이수푸르지오더프레티움(사당3),동작구,41,신혼부부,우선,1.0,6.0,전입일자,2003.12.03,서류
2021.0,2차,이수푸르지오더프레티움(사당3),동작구,41,신혼부부,일반,1.0,,추첨,,서류
2021.0,2차,제이타워오피스텔(창신동255-1),종로구,51,청년,우선,1.0,6.0,추첨,,서류
2021.0,2차,제이타워오피스텔(창신동255-1),종로구,51,청년,일반,1.0,,추첨,,서류
2021.0,2차,제이타워오피스텔(창신동255-1),종로구,13,대학생,우선,1.0,3.0,추첨,,서류
2021.0,2차,제이타워오피스텔(창신동255-1),종로구,13,대학생,일반,1.0,,추첨,,서류
2021.0,2차,제이타워오피스텔(창신동255-1),종로구,13,주거급여수급자,우선,2.0,1.0,전입일자,2016.10.05,서류
2021.0,2차,제이타워오피스텔(창신동255-1),종로구,13,주거급여수급자,일반,,,추첨,,서류
2021.0,2차,크라운빌2차(신도림동419-4),구로구,19,청년,우선,1.0,6.0,추첨,,서류
2021.0,2차,크라운빌2차(신도림동419-4),구로구,19,청년,일반,1.0,4.0,추첨,,서류
2021.0,2차,크라운빌2차(신도림동419-4),구로구,17,대학생,우선,2.0,,추첨,,서류
2021.0,2차,크라운빌2차(신도림동419-4),구로구,17,대학생,일반,1.0,,추첨,,서류
2021.0,2차,크라운빌2차(신도림동419-4),구로구,17,주거급여수급자,우선,2.0,1.0,전입일자,2014.12.22,서류
2021.0,2차,크라운빌2차(신도림동419-4),구로구,17,주거급여수급자,일반,,,추첨,,서류
2021.0,2차,힐데스하임천호(천호2),강동구,32,청년,우선,1.0,6.0,추첨,,서류
2021.0,2차,힐데스하임천호(천호2),강동구,32,청년,일반,1.0,,추첨,,서류
2021.0,2차,힐데스하임천호(천호2),강동구,52,고령자,우선,1.0,6.0,전입일자,2013.03.04,서류
2021.0,2차,힐데스하임천호(천호2),강동구,52,고령자,일반,,,추첨,,서류
2021.0,2차,힐데스하임천호(천호2),강동구,52,신혼부부,우선,1.0,6.0,전입일자,1998.06.03,서류
2021.0,2차,힐데스하임천호(천호2),강동구,52,신혼부부,일반,1.0,,추첨,,서류
2021.0,2차,힐스테이트관악뉴포레(강남아파트),관악구,44,고령자,우선,1.0,4.0,전입일자,1995.09.05,서류
2021.0,2차,힐스테이트관악뉴포레(강남아파트),관악구,44,고령자,일반,,,추첨,,서류
2021.0,2차,힐스테이트관악뉴포레(강남아파트),관악구,44,신혼부부,우선,1.0,6.0,전입일자,2018.02.14,서류
2021.0,2차,힐스테이트관악뉴포레(강남아파트),관악구,44,신혼부부,일반,1.0,,추첨,,서류
2021.0,2차,송파파크데일4단지(임대),송파구,59,고령자,우선,1.0,6.0,전입일자,2003.08.22,서류
2021.0,2차,송파파크데일4단지(임대),송파구,59,고령자,일반,,,추첨,,서류
2021.0,2차,송파파크데일4단지(임대),송파구,59,신혼부부,우선,1.0,6.0,전입일자,1998.02.20,서류
2021.0,2차,송파파크데일4단지(임대),송파구,59,신혼부부,일반,1.0,,추첨,,서류
2021.0,2차,송파파크데일5단지(임대),송파구,59,고령자,우선,1.0,6.0,전입일자,2000.03.09,서류
2021.0,2차,송파파크데일5단지(임대),송파구,59,고령자,일반,,,추첨,,서류
2021.0,2차,송파파크데일5단지(임대),송파구,59,신혼부부,우선,1.0,6.0,전입일자,1996.10.31,서류
2021.0,2차,송파파크데일5단지(임대),송파구,59,신혼부부,일반,1.0,,추첨,,서류
2021.0,2차,초행지봉-신사,은평구,23,대학생,우선,,,전원합격,,서류
2021.0,2차,초행지봉-신사,은평구,23,대학생,일반,,,전원합격,,서류
2021.0,2차,초행지봉-신사,은평구,26,청년,우선,2.0,4.0,추첨,,서류
2021.0,2차,초행지봉-신사,은평구,26,청년,일반,3.0,,추첨,,서류
